model,task,layer,seed,val_auroc,test_auroc,pert_auroc,reph_auroc,test_acc,test_f1,test_ece,test_brier
gpt2,truthfulqa_mc,3,43,0.546875,0.513317191283293,0.5456012913640031,0.5189669087974172,0.65,0.3,0.29072375539539613,0.27631246265621
gpt2,truthfulqa_mc,3,44,0.546875,0.513317191283293,0.5456012913640031,0.5189669087974172,0.65,0.3,0.29072375539539613,0.27631246265621
gpt2,truthfulqa_mc,4,42,0.6259765625,0.5633575464083939,0.5924132364810332,0.5899919289749798,0.6875,0.358974358974359,0.2670315519360946,0.2686494590800247
gpt2,truthfulqa_mc,4,43,0.6259765625,0.5633575464083939,0.5924132364810332,0.5899919289749798,0.6875,0.358974358974359,0.2670315519360946,0.2686494590800247
gpt2,truthfulqa_mc,4,44,0.6259765625,0.5633575464083939,0.5924132364810332,0.5899919289749798,0.6875,0.358974358974359,0.2670315519360946,0.2686494590800247
gpt2,truthfulqa_mc,5,42,0.6591796875,0.5690072639225182,0.5480225988700564,0.5875706214689266,0.6875,0.358974358974359,0.24383206683586164,0.2728303402423078
gpt2,truthfulqa_mc,5,43,0.6591796875,0.5690072639225182,0.5480225988700564,0.5875706214689266,0.6875,0.358974358974359,0.24383206683586164,0.2728303402423078
gpt2,truthfulqa_mc,5,44,0.6591796875,0.5690072639225182,0.5480225988700564,0.5875706214689266,0.6875,0.358974358974359,0.24383206683586164,0.2728303402423078
gpt2,truthfulqa_mc,6,42,0.6259765625,0.5770782889426957,0.606133979015335,0.6351896690879741,0.675,0.35,0.25497656344664543,0.2773698684518802
gpt2,truthfulqa_mc,6,43,0.6259765625,0.5770782889426957,0.606133979015335,0.6351896690879741,0.675,0.35,0.25497656344664543,0.2773698684518802
gpt2,truthfulqa_mc,6,44,0.6259765625,0.5770782889426957,0.606133979015335,0.6351896690879741,0.675,0.35,0.25497656344664543,0.2773698684518802
gpt2,truthfulqa_mc,7,42,0.5859375,0.6125907990314771,0.6214689265536723,0.6779661016949152,0.7625,0.5128205128205128,0.24225598434030676,0.2353067492467849
gpt2,truthfulqa_mc,7,43,0.5859375,0.6125907990314771,0.6214689265536723,0.6779661016949152,0.7625,0.5128205128205128,0.24225598434030676,0.2353067492467849
gpt2,truthfulqa_mc,7,44,0.5859375,0.6125907990314771,0.6214689265536723,0.6779661016949152,0.7625,0.5128205128205128,0.24225598434030676,0.2353067492467849
gpt2,truthfulqa_mc,8,42,0.5732421875,0.615819209039548,0.5980629539951574,0.5149313962873285,0.725,0.45,0.24595287003232347,0.24932154105123275
gpt2,truthfulqa_mc,8,43,0.5732421875,0.615819209039548,0.5980629539951574,0.5149313962873285,0.725,0.45,0.24595287003232347,0.24932154105123275
gpt2,truthfulqa_mc,8,44,0.5732421875,0.615819209039548,0.5980629539951574,0.5149313962873285,0.725,0.45,0.24595287003232347,0.24932154105123275
gpt2,truthfulqa_mc,9,42,0.4951171875,0.6916868442292172,0.652138821630347,0.6400322841000807,0.725,0.45,0.18680396815298717,0.22217266875907254
gpt2,truthfulqa_mc,9,43,0.4951171875,0.6916868442292172,0.652138821630347,0.6400322841000807,0.725,0.45,0.18680396815298717,0.22217266875907254
gpt2,truthfulqa_mc,9,44,0.4951171875,0.6916868442292172,0.652138821630347,0.6400322841000807,0.725,0.45,0.18680396815298717,0.22217266875907254
gpt2,truthfulqa_mc,10,42,0.4833984375,0.6472962066182405,0.5698143664245359,0.5690072639225182,0.7375,0.4878048780487805,0.2334518748718532,0.23836136923865664
gpt2,truthfulqa_mc,10,43,0.4833984375,0.6472962066182405,0.5698143664245359,0.5690072639225182,0.7375,0.4878048780487805,0.2334518748718532,0.23836136923865664
